Step: 42500, Episode: 29, Stage: 1-1, Score: 1350, Time: 298, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -42798.0
Step: 43000, Episode: 29, Stage: 1-1, Score: 1550, Time: 200, Episode Max X: 904, All-Time Max X: 3157, Episode Reward: -66315.0
Step: 43500, Episode: 29, Stage: 1-1, Score: 1750, Time: 332, Episode Max X: 1116, All-Time Max X: 3157, Episode Reward: -148173.0
Step: 44000, Episode: 29, Stage: 1-1, Score: 1750, Time: 232, Episode Max X: 1116, All-Time Max X: 3157, Episode Reward: -184193.0
Step: 44500, Episode: 30, Stage: 1-1, Score: 0, Time: 344, Episode Max X: 478, All-Time Max X: 3157, Episode Reward: 8242.0
Step: 45000, Episode: 30, Stage: 1-1, Score: 200, Time: 392, Episode Max X: 898, All-Time Max X: 3157, Episode Reward: -70787.0
Step: 45500, Episode: 31, Stage: 1-1, Score: 0, Time: 377, Episode Max X: 184, All-Time Max X: 3157, Episode Reward: 2507.0
Step: 46000, Episode: 31, Stage: 1-1, Score: 300, Time: 277, Episode Max X: 679, All-Time Max X: 3157, Episode Reward: 2301.0
Step: 46500, Episode: 31, Stage: 1-1, Score: 300, Time: 177, Episode Max X: 734, All-Time Max X: 3157, Episode Reward: -35571.0
Step: 47000, Episode: 31, Stage: 1-1, Score: 400, Time: 389, Episode Max X: 833, All-Time Max X: 3157, Episode Reward: -155731.0
Step: 47500, Episode: 31, Stage: 1-1, Score: 400, Time: 289, Episode Max X: 833, All-Time Max X: 3157, Episode Reward: -191386.0
Step: 48000, Episode: 32, Stage: 1-1, Score: 300, Time: 373, Episode Max X: 258, All-Time Max X: 3157, Episode Reward: 9234.0
Step: 48500, Episode: 32, Stage: 1-1, Score: 300, Time: 273, Episode Max X: 604, All-Time Max X: 3157, Episode Reward: -12178.0
Step: 49000, Episode: 32, Stage: 1-1, Score: 300, Time: 394, Episode Max X: 708, All-Time Max X: 3157, Episode Reward: -91961.0
Step: 49500, Episode: 33, Stage: 1-1, Score: 200, Time: 376, Episode Max X: 623, All-Time Max X: 3157, Episode Reward: -11667.0
Step: 50000, Episode: 34, Stage: 1-1, Score: 1350, Time: 332, Episode Max X: 434, All-Time Max X: 3157, Episode Reward: -9581.0
Step: 50500, Episode: 34, Stage: 1-1, Score: 1600, Time: 232, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -20223.0
Step: 51000, Episode: 34, Stage: 1-1, Score: 1800, Time: 135, Episode Max X: 1073, All-Time Max X: 3157, Episode Reward: -34096.0
Step: 51500, Episode: 34, Stage: 1-1, Score: 2100, Time: 304, Episode Max X: 1122, All-Time Max X: 3157, Episode Reward: -130695.0
Step: 52000, Episode: 35, Stage: 1-1, Score: 300, Time: 372, Episode Max X: 436, All-Time Max X: 3157, Episode Reward: 19861.0
Step: 52500, Episode: 35, Stage: 1-1, Score: 300, Time: 272, Episode Max X: 725, All-Time Max X: 3157, Episode Reward: -11951.0
